COUNTRY,TIME,VALUE ,MEASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/15,53,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/15,52,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/15,54,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/16,51,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/16,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/16,51,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/16,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/16,48,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/16,50,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/16,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/16,49,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/16,48,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/16,213,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/16,184,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/16,143,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/17,207,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/17,204,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/17,206,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/17,208,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/17,208,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,6/1/17,207,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,7/1/17,209,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,8/1/17,208,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,9/1/17,211,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10/1/17,208,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,11/1/17,209,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,12/1/17,120,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,1/1/18,143,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,2/1/18,162,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,3/1/18,209,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,4/1/18,210,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,5/1/18,210,Thousand barrels per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,
